epoch,val_loss,pr_auc,roc_auc,tpr5,guidance_score
1,0.9501847205094144,0.6806563637735534,0.8319491208380098,0.4962962962962963,0.6253483435303763
2,0.7849727852057807,0.7451613268059931,0.866307519640853,0.5555555555555556,0.6882795954308618
3,0.8256163108575193,0.7553900376226573,0.8668911335578003,0.6222222222222222,0.7154396930025267
4,0.8410920197073417,0.7317953325763983,0.8521661054994388,0.6,0.6922567328034788
5,0.847832280718073,0.7656057152082448,0.8629405162738497,0.6222222222222222,0.722590667312438
6,0.9617504315285743,0.7432751578628031,0.8557575757575757,0.5555555555555556,0.6869592771706288
7,0.9143606255043156,0.7608603141569619,0.8697942386831276,0.6148148148148148,0.7170466643543176
8,1.0623891844732474,0.7547070278694582,0.8616835016835017,0.5703703703703704,0.6994060306197318
9,0.9673155143479758,0.7609595218474171,0.8754358398802844,0.6444444444444445,0.7260049986265253
10,0.9353298688236671,0.7605036626873094,0.8615937149270482,0.6296296296296297,0.7212414527700054
11,1.3312137378733369,0.7703415941052038,0.8622371866816311,0.6148148148148148,0.723683560318087
12,1.2958145927920748,0.7592900497195306,0.8467340067340068,0.6370370370370371,0.7226141459147826
13,1.0465579966106746,0.781052910978906,0.8754059109614666,0.6444444444444445,0.7400703710185674
14,1.0693221977098455,0.7626374496910828,0.8687018331462776,0.6222222222222222,0.7205128814504246
15,1.172052941367596,0.7725113536887582,0.8608454919566031,0.6370370370370371,0.7318690586932418
16,1.420162494117512,0.7442666645926945,0.855877291432847,0.6074074074074074,0.7032088874371083
17,1.162823261150831,0.7603552246732804,0.8681481481481482,0.6444444444444445,0.7255819906046296
18,1.1659381327136784,0.7621270135445332,0.8606060606060606,0.6074074074074074,0.7157111317033954
19,1.235733155632698,0.7833661291880739,0.8701533857089414,0.6296296296296297,0.7372451793205406
20,1.3207558605678473,0.7680202657968389,0.860411522633745,0.6370370370370371,0.7287252971688983
21,1.4944892013327609,0.7250590258717803,0.853542835765058,0.5851851851851851,0.6830968736658017
22,1.349735132960862,0.765431994014359,0.8623569023569024,0.6518518518518519,0.7313579513656069
23,1.3604269025116404,0.7608494853636641,0.8598578376356155,0.562962962962963,0.7014835286434538
24,1.2701412721336642,0.7988786712257022,0.8827384960718294,0.6888888888888889,0.7658817365246582
25,1.436144923154689,0.7662519818273468,0.8622222222222222,0.6222222222222222,0.7230430539458094
26,1.2177053820577604,0.7834180866694714,0.8754657687991022,0.6444444444444445,0.7417259940019634
27,1.2874156253388789,0.7430241861604606,0.85774784885896,0.5777777777777777,0.6934502636456558
28,1.4695376994772047,0.7912030389385893,0.8654395809951365,0.6592592592592592,0.7516199050347903
29,1.6331321927895652,0.7623201235896672,0.8559521137298914,0.6444444444444445,0.7269574198461003
30,1.3180676801955398,0.7545769429497311,0.8494874672652449,0.6370370370370371,0.7193149711759228
31,1.370897668838218,0.8016146867538813,0.8735652824541712,0.6814814814814815,0.7655747251721613
32,1.4732488518657423,0.7686647970010473,0.8575533108866442,0.6592592592592592,0.7358431356785108
33,1.20738152748186,0.7827520879850112,0.8769472502805836,0.6592592592592592,0.7457042393672855
34,1.6011253685890874,0.7608034456924835,0.8539768050879162,0.6222222222222222,0.7192290786514051
35,1.5983681811043355,0.7498327272950011,0.8559221848110736,0.6444444444444445,0.7182162424398341
36,1.9029518050624976,0.7549104129838383,0.8498466142910588,0.6222222222222222,0.7151039557553535
37,1.4015705318284468,0.7753010453536885,0.8624915824915825,0.6444444444444445,0.7360440650809152
38,1.748234039711872,0.7555438973165618,0.8604713804713805,0.6074074074074074,0.7111029503438154
39,1.5031413812473227,0.7530474048825231,0.8593789749345305,0.6370370370370371,0.7182442945288773
40,2.177446494173683,0.7517041497161846,0.8427384960718295,0.6074074074074074,0.7084151270235514
41,1.5590690671926057,0.7678624504238992,0.8577328843995511,0.6148148148148148,0.7219481597411739
42,1.4751393166075968,0.7669245442638596,0.8653198653198653,0.5851851851851851,0.7124027365402572
43,1.5713841451856578,0.7789505072445422,0.8647811447811449,0.6370370370370371,0.7363764661822906
44,1.366389930531194,0.7849029006450869,0.8728020950243173,0.6666666666666666,0.7494320304515608
45,1.370843392513881,0.7647224539159465,0.8726524504302282,0.6074074074074074,0.7175279399633847
46,1.8955073837025822,0.7471119816869402,0.8493827160493826,0.5851851851851851,0.6985339427364137
47,1.6219643471479606,0.7626183007220989,0.8586756453423119,0.5925925925925926,0.7116105882832469
48,1.5327299584787857,0.7776202487808329,0.8672652450430228,0.6,0.724334174146583
49,1.5848378919512978,0.7893693666362369,0.8704676393565283,0.6666666666666666,0.7525585566453658
50,1.727038682780311,0.7869555521804124,0.8620127197904975,0.674074074074074,0.7530911087485108
51,1.3579656017967794,0.7740254081950952,0.865813692480359,0.6074074074074074,0.7240400079587888
52,1.3586808470419691,0.7673442932065686,0.870662177328844,0.5703703703703704,0.7082521163557091
53,1.5170682474994395,0.7780708229050413,0.8690011223344557,0.6074074074074074,0.726871798255751
54,1.415134464366998,0.7584229046867258,0.8693901982790874,0.6,0.7108960332807079
55,1.6777206423038122,0.7690955295963724,0.8705125327347549,0.6370370370370371,0.7294779818285717
56,1.9484437520415345,0.7638203445920241,0.8459259259259261,0.6370370370370371,0.725785352325528
57,1.6838802701227744,0.7638536585043351,0.8636737747848859,0.6074074074074074,0.7169197831752567
58,1.5348846712326514,0.7639684797191681,0.8570445192667415,0.6148148148148148,0.7192223802478621
59,1.784264458744209,0.7734273995503521,0.8588552188552189,0.6296296296296297,0.7302880685741353
60,1.8454984059686996,0.768776183116252,0.8628507295173962,0.6148148148148148,0.7225877726258207
61,1.9963502928944705,0.7501328139262055,0.8499962588851477,0.6074074074074074,0.7073151919705659
62,1.7158503677766723,0.7784161133907177,0.8597081930415263,0.6296296296296297,0.7337801682623912
63,1.8959052293455299,0.7790043071958505,0.8728619528619528,0.6296296296296297,0.7341919039259842
64,1.9135949733074684,0.7628397786747458,0.8638383838383838,0.6222222222222222,0.7206545117389886
65,1.634022431660302,0.7854496547531988,0.8755106621773288,0.6370370370370371,0.7409258694383503
66,1.5661692331321067,0.7467417375629362,0.866292555181444,0.6074074074074074,0.7049414385162774
67,1.6395781364563051,0.7605553136916865,0.8678189300411523,0.6,0.7123887195841805
68,1.583315045608184,0.7639509562481563,0.8662177328843995,0.6370370370370371,0.7258767804848205
69,2.0344444042619885,0.7800382279189254,0.8649906472128694,0.6444444444444445,0.7393600928765811
70,1.7813030671847017,0.7881428919568474,0.8704676393565283,0.6518518518518519,0.7472555799253487
