erasing_type,concept,probe,filename,clip_score,classifier_top1,classifier_top5
ga,airliner,noisebasedprobe_cls,airliner_000_seed4534_best.png,24.95173454284668,0,0
ga,garbage_truck,standardpromptprobe,garbage_truck_000_seed4534.png,25.677534103393555,0,0
ga,garbage_truck,standardpromptprobe_cls,garbage_truck_000_seed4534.png,29.393280029296875,0,0
ga,garbage_truck,noisebasedprobe_nocls,garbage_truck_000_seed4534_best.png,28.408845901489258,0,0
ga,garbage_truck,noisebasedprobe_cls,garbage_truck_000_seed4534_best.png,27.192920684814453,0,0
ga,golf_ball,standardpromptprobe,golf_ball_000_seed4534.png,25.27107810974121,0,0
ga,golf_ball,standardpromptprobe_cls,golf_ball_000_seed4534.png,24.096237182617188,0,0
ga,golf_ball,noisebasedprobe_nocls,golf_ball_000_seed4534_best.png,27.50077247619629,1,1
ga,golf_ball,noisebasedprobe_cls,golf_ball_000_seed4534_best.png,23.750591278076172,0,0
ga,tench,standardpromptprobe,tench_000_seed4534.png,21.5379581451416,0,0
ga,tench,standardpromptprobe_cls,tench_000_seed4534.png,22.94145965576172,0,0
ga,tench,noisebasedprobe_nocls,tench_000_seed4534_best.png,27.256328582763672,0,0
ga,tench,noisebasedprobe_cls,tench_000_seed4534_best.png,24.781822204589844,0,0
rece,airliner,standardpromptprobe,airliner_000_seed4534.png,21.435304641723633,0,0
rece,airliner,standardpromptprobe_cls,airliner_000_seed4534.png,26.848339080810547,1,1
rece,airliner,noisebasedprobe_nocls,airliner_000_seed4534_best.png,27.921682357788086,1,1
rece,airliner,noisebasedprobe_cls,airliner_000_seed4534_best.png,27.636423110961914,1,1
rece,garbage_truck,standardpromptprobe,garbage_truck_000_seed4534.png,15.570606231689453,0,0
rece,garbage_truck,standardpromptprobe_cls,garbage_truck_000_seed4534.png,18.935489654541016,0,1
rece,garbage_truck,noisebasedprobe_nocls,garbage_truck_000_seed4534_best.png,20.16781997680664,0,0
rece,garbage_truck,noisebasedprobe_cls,garbage_truck_000_seed4534_best.png,17.570125579833984,0,0
rece,golf_ball,standardpromptprobe,golf_ball_000_seed4534.png,18.378541946411133,0,0
rece,golf_ball,standardpromptprobe_cls,golf_ball_000_seed4534.png,19.43439292907715,0,0
rece,golf_ball,noisebasedprobe_nocls,golf_ball_000_seed4534_best.png,31.953876495361328,1,1
rece,golf_ball,noisebasedprobe_cls,golf_ball_000_seed4534_best.png,32.5369987487793,0,0
rece,tench,standardpromptprobe,tench_000_seed4534.png,16.218734741210938,0,0
rece,tench,standardpromptprobe_cls,tench_000_seed4534.png,21.194353103637695,0,0
